   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
  23  T 0   2.043e+08  -2e-01  0.87  1.0e-01  2.7e-04  1.0e-01  2.8e+00  4.0e-01  1.6e-03  4.0e-01
  24  T 0   1.981e+08  -2e-01  0.88  1.0e-01  2.8e-04  1.0e-01  2.7e+00  3.8e-01  1.5e-03  3.8e-01
  25  T 0   1.931e+08  -2e-01  0.89  1.0e-01  3.7e-04  1.0e-01  2.6e+00  3.1e-01  1.6e-03  3.1e-01
  26  T 0   1.891e+08  -1e-01  0.90  1.0e-01  3.2e-04  1.0e-01  2.4e+00  3.2e-01  1.5e-03  3.2e-01
  27  T 0   1.854e+08  -1e-01  0.90  1.0e-01  2.5e-04  1.0e-01  2.1e+00  4.3e-01  1.6e-03  4.3e-01
  28  T 0   1.820e+08  -8e-02  0.91  1.0e-01  2.9e-04  1.0e-01  1.7e+00  3.7e-01  1.6e-03  3.8e-01
  29  T 0   1.793e+08  -6e-02  0.91  1.0e-01  2.5e-04  1.0e-01  1.8e+00  4.9e-01  1.6e-03  4.9e-01
  30  T 0   1.766e+08  -4e-02  0.92  1.0e-01  2.3e-04  1.0e-01  1.8e+00  3.6e-01  1.5e-03  3.6e-01
  31  T 0   1.736e+08  -1e-02  0.93  1.0e-01  3.9e-04  1.0e-01  2.0e+00  3.1e-01  1.6e-03  3.1e-01
  32  T 0   1.718e+08   6e-06  0.93  1.0e-01  3.5e-04  1.0e-01  1.9e+00  3.0e-01  2.5e-03  3.1e-01
  33  T 0   1.702e+08   2e-07  0.93  1.0e-01  7.6e-04  1.0e-01  1.5e+00  3.2e-01  2.7e-03  3.2e-01
  34  F 0   1.702e+08   2e-07  0.93  7.0e-02  7.6e-04  0.0e+00  0.0e+00  3.1e-01  2.5e-03  3.1e-01
  34  T 1   1.697e+08  -5e-07  0.93  8.4e-02  8.3e-04  7.0e-02  8.3e-01  3.1e-01  2.2e-03  3.2e-01
  35  T 0   1.695e+08   9e-07  0.92  1.0e-01  6.1e-04  8.4e-02  5.9e-01  3.2e-01  2.5e-03  3.2e-01
  36  T 0   1.684e+08  -5e-06  0.92  1.0e-01  3.2e-03  1.0e-01  5.8e-01  2.9e-01  2.2e-03  2.9e-01
  37  F 0   1.684e+08  -5e-06  0.92  7.0e-02  3.2e-03  0.0e+00  0.0e+00  2.9e-01  2.7e-03  2.9e-01
  37  F 1   1.684e+08  -5e-06  0.92  4.9e-02  3.2e-03  0.0e+00  0.0e+00  3.1e-01  2.2e-03  3.1e-01
  37  T 2   1.684e+08   2e-06  0.92  5.9e-02  2.4e-03  4.9e-02  4.3e-01  2.8e-01  2.1e-03  2.8e-01
  38  T 0   1.679e+08   4e-07  0.92  7.1e-02  8.6e-03  5.9e-02  3.9e-01  3.0e-01  2.5e-03  3.0e-01
  39  T 0   1.669e+08  -8e-06  0.92  8.5e-02  4.2e-04  6.6e-02  3.3e-01  3.0e-01  2.4e-03  3.0e-01
  40  T 0   1.661e+08  -4e-06  0.93  1.0e-01  2.4e-03  8.5e-02  4.4e-01  3.3e-01  2.4e-03  3.3e-01
  41  F 0   1.661e+08  -4e-06  0.93  7.0e-02  2.4e-03  0.0e+00  0.0e+00  3.1e-01  2.9e-03  3.2e-01
  41  F 1   1.661e+08  -4e-06  0.93  4.9e-02  2.4e-03  0.0e+00  0.0e+00  4.5e-01  2.1e-03  4.5e-01
  41  T 2   1.661e+08  -2e-06  0.94  5.9e-02  5.0e-04  4.9e-02  5.4e-01  2.9e-01  2.1e-03  2.9e-01
  42  T 0   1.651e+08  -7e-06  0.94  7.1e-02  6.9e-04  5.9e-02  6.1e-01  4.0e-01  2.2e-03  4.0e-01
  43  T 0   1.651e+08  -6e-08  0.94  8.5e-02  3.8e-04  7.1e-02  3.8e-01  4.3e-01  2.5e-03  4.4e-01
  44  T 0   1.644e+08  -2e-08  0.95  1.0e-01  6.2e-04  8.5e-02  6.2e-01  3.9e-01  2.5e-03  3.9e-01
  45  T 0   1.641e+08  -4e-06  0.95  1.0e-01  3.5e-04  1.0e-01  1.9e+00  3.3e-01  2.7e-03  3.3e-01
  46  T 0   1.636e+08  -3e-06  0.95  1.0e-01  4.6e-04  1.0e-01  1.6e+00  2.9e-01  2.1e-03  2.9e-01
  47  T 0   1.634e+08   2e-06  0.95  1.0e-01  2.2e-04  1.0e-01  9.6e-01  2.9e-01  2.4e-03  2.9e-01
  48  T 0   1.628e+08   2e-07  0.95  1.0e-01  1.3e-04  1.0e-01  7.4e-01  2.7e-01  2.5e-03  2.7e-01
  49  T 0   1.626e+08   0e+00  0.95  1.0e-01  2.1e-04  1.0e-01  7.1e-01  3.2e-01  2.2e-03  3.2e-01
  50  T 0   1.625e+08   1e-07  0.95  1.0e-01  1.4e-04  9.0e-02  5.1e-01  2.9e-01  2.4e-03  2.9e-01
  51  T 0   1.623e+08  -3e-07  0.96  1.0e-01  4.6e-05  9.0e-02  3.6e-01  3.3e-01  2.5e-03  3.3e-01
  52  T 0   1.620e+08  -8e-06  0.96  1.0e-01  5.5e-05  1.0e-01  8.0e-01  3.6e-01  2.2e-03  3.6e-01
  53  F 0   1.620e+08  -8e-06  0.96  7.0e-02  5.5e-05  0.0e+00  0.0e+00  2.9e-01  2.5e-03  2.9e-01
  53  T 1   1.620e+08  -3e-06  0.96  8.4e-02  1.0e-04  7.0e-02  1.0e+00  2.7e-01  1.9e-03  2.7e-01
  54  T 0   1.618e+08  -2e-06  0.96  1.0e-01  1.1e-04  8.4e-02  8.5e-01  2.7e-01  2.1e-03  2.7e-01
  55  T 0   1.617e+08  -8e-06  0.96  1.0e-01  6.1e-05  8.6e-02  4.9e-01  3.2e-01  2.1e-03  3.2e-01
  56  T 0   1.616e+08  -8e-06  0.96  1.0e-01  3.8e-05  3.9e-02  2.2e-01  3.1e-01  2.2e-03  3.2e-01
  57  T 0   1.615e+08  -2e-06  0.96  1.0e-01  3.6e-05  4.9e-02  2.8e-01  2.8e-01  2.1e-03  2.9e-01
  58  T 0   1.613e+08   1e-07  0.97  1.0e-01  7.4e-05  1.0e-01  1.3e+00  2.7e-01  2.2e-03  2.7e-01
  59  F 0   1.613e+08   1e-07  0.97  7.0e-02  7.4e-05  0.0e+00  0.0e+00  2.7e-01  2.2e-03  2.7e-01
  59  T 1   1.613e+08   2e-06  0.97  8.4e-02  9.8e-05  7.0e-02  1.0e+00  2.7e-01  1.8e-03  2.7e-01
  60  T 0   1.612e+08  -9e-06  0.96  1.0e-01  1.3e-04  8.4e-02  8.4e-01  3.7e-01  2.2e-03  3.7e-01
  61  T 0   1.610e+08   6e-06  0.96  1.0e-01  7.8e-05  9.9e-02  5.3e-01  3.3e-01  2.3e-03  3.4e-01
  62  T 0   1.610e+08  -8e-06  0.96  1.0e-01  3.5e-05  3.3e-02  1.8e-01  2.9e-01  2.2e-03  2.9e-01
  63  T 0   1.609e+08   2e-07  0.96  1.0e-01  3.4e-05  3.8e-02  2.0e-01  2.9e-01  2.2e-03  2.9e-01
  64  T 0   1.608e+08   4e-06  0.97  1.0e-01  6.6e-05  1.0e-01  1.3e+00  2.9e-01  2.2e-03  2.9e-01
  65  T 0   1.607e+08  -8e-06  0.97  1.0e-01  1.3e-04  1.0e-01  1.3e+00  2.9e-01  1.9e-03  2.9e-01
  66  F 0   1.607e+08  -8e-06  0.97  7.0e-02  1.3e-04  0.0e+00  0.0e+00  2.7e-01  2.2e-03  2.7e-01
  66  T 1   1.606e+08   2e-06  0.96  8.4e-02  1.0e-04  7.0e-02  8.5e-01  2.9e-01  1.9e-03  2.9e-01
  67  T 0   1.605e+08  -2e-06  0.96  1.0e-01  8.0e-05  7.2e-02  5.0e-01  2.9e-01  2.2e-03  2.9e-01
  68  T 0   1.604e+08  -4e-06  0.96  1.0e-01  3.0e-05  5.2e-02  2.6e-01  3.7e-01  2.3e-03  3.8e-01
  69  T 0   1.604e+08  -2e-06  0.97  1.0e-01  3.0e-05  2.3e-02  1.2e-01  3.8e-01  2.2e-03  3.8e-01
  70  T 0   1.603e+08   6e-06  0.97  1.0e-01  3.1e-05  1.0e-01  7.5e-01  2.9e-01  1.6e-03  2.9e-01
  71  F 0   1.603e+08   6e-06  0.97  7.0e-02  3.1e-05  0.0e+00  0.0e+00  5.7e-01  2.2e-03  5.7e-01
  71  T 1   1.603e+08   2e-06  0.97  8.4e-02  9.1e-05  7.0e-02  8.9e-01  2.8e-01  2.1e-03  2.9e-01
  72  F 0   1.603e+08   2e-06  0.97  5.9e-02  9.1e-05  0.0e+00  0.0e+00  2.8e-01  2.2e-03  2.8e-01
  72  T 1   1.602e+08  -4e-07  0.97  7.1e-02  7.4e-05  5.9e-02  6.7e-01  2.8e-01  1.8e-03  2.9e-01
  73  T 0   1.602e+08   9e-06  0.97  8.5e-02  7.7e-05  7.1e-02  4.9e-01  2.8e-01  1.6e-03  2.8e-01
  74  T 0   1.601e+08   1e-07  0.97  1.0e-01  3.0e-05  5.0e-02  2.7e-01  2.9e-01  2.2e-03  2.9e-01
  75  T 0   1.601e+08  -5e-07  0.97  1.0e-01  2.6e-05  1.9e-02  9.1e-02  2.8e-01  2.2e-03  2.9e-01
  76  T 0   1.601e+08  -4e-07  0.97  1.0e-01  2.4e-05  5.8e-02  2.6e-01  2.9e-01  2.2e-03  3.0e-01
  77  T 0   1.600e+08   2e-08  0.98  1.0e-01  2.9e-05  1.0e-01  1.0e+00  2.7e-01  2.4e-03  2.7e-01
  78  F 0   1.600e+08   2e-08  0.98  7.0e-02  2.9e-05  0.0e+00  0.0e+00  2.7e-01  2.1e-03  2.7e-01
  78  F 1   1.600e+08   2e-08  0.98  4.9e-02  2.9e-05  0.0e+00  0.0e+00  2.7e-01  1.8e-03  2.7e-01
  78  T 2   1.600e+08  -2e-16  0.97  5.9e-02  5.8e-05  4.9e-02  6.5e-01  3.2e-01  1.8e-03  3.2e-01
  79  F 0   1.600e+08  -2e-16  0.97  4.1e-02  5.8e-05  0.0e+00  0.0e+00  3.1e-01  2.2e-03  3.1e-01
  79  T 1   1.599e+08  -3e-06  0.97  4.9e-02  5.8e-05  4.1e-02  4.4e-01  2.7e-01  1.8e-03  2.7e-01
  80  T 0   1.599e+08  -8e-06  0.97  5.9e-02  3.4e-05  4.5e-02  2.6e-01  2.7e-01  2.1e-03  2.7e-01
  81  T 0   1.599e+08  -6e-07  0.97  7.1e-02  2.2e-05  1.9e-02  1.1e-01  3.0e-01  2.1e-03  3.0e-01
  82  T 0   1.599e+08  -1e-06  0.97  8.5e-02  2.1e-05  2.1e-02  9.4e-02  3.3e-01  2.2e-03  3.3e-01
  83  T 0   1.598e+08  -4e-07  0.98  1.0e-01  5.7e-05  8.5e-02  8.1e-01  2.7e-01  2.1e-03  2.8e-01
  84  F 0   1.598e+08  -4e-07  0.98  7.0e-02  5.7e-05  0.0e+00  0.0e+00  3.2e-01  2.4e-03  3.3e-01
  84  F 1   1.598e+08  -4e-07  0.98  4.9e-02  5.7e-05  0.0e+00  0.0e+00  2.8e-01  2.1e-03  2.8e-01
  84  F 2   1.598e+08  -4e-07  0.98  3.4e-02  5.7e-05  0.0e+00  0.0e+00  2.7e-01  2.1e-03  2.8e-01
  84  T 3   1.598e+08   2e-06  0.97  4.1e-02  5.7e-05  3.4e-02  4.3e-01  2.7e-01  2.1e-03  2.7e-01
  85  T 0   1.598e+08  -3e-06  0.97  4.9e-02  4.0e-05  4.1e-02  2.7e-01  2.7e-01  2.2e-03  2.8e-01
  86  T 0   1.597e+08  -1e-06  0.97  5.9e-02  2.5e-05  3.4e-02  1.8e-01  2.7e-01  2.1e-03  2.7e-01
  87  T 0   1.597e+08  -3e-07  0.97  7.1e-02  2.4e-05  2.2e-02  9.7e-02  2.7e-01  2.2e-03  2.7e-01
  88  T 0   1.597e+08   2e-07  0.97  8.5e-02  2.2e-05  5.1e-02  2.0e-01  2.7e-01  2.1e-03  2.7e-01
  89  F 0   1.597e+08   2e-07  0.97  6.0e-02  2.2e-05  0.0e+00  0.0e+00  2.7e-01  2.1e-03  2.7e-01
  89  F 1   1.597e+08   2e-07  0.97  4.2e-02  2.2e-05  0.0e+00  0.0e+00  2.6e-01  1.8e-03  2.7e-01
  89  F 2   1.597e+08   2e-07  0.97  2.9e-02  2.2e-05  0.0e+00  0.0e+00  2.8e-01  2.1e-03  2.8e-01
  89  T 3   1.597e+08  -5e-06  0.98  3.5e-02  4.0e-05  2.9e-02  3.4e-01  3.4e-01  2.2e-03  3.5e-01
  90  T 0   1.597e+08   6e-06  0.97  4.2e-02  4.2e-05  3.5e-02  3.5e-01  2.7e-01  2.2e-03  2.7e-01
  91  T 0   1.597e+08  -2e-06  0.97  5.1e-02  3.4e-05  3.6e-02  2.3e-01  2.7e-01  2.2e-03  2.7e-01
  92  T 0   1.596e+08  -5e-06  0.97  6.1e-02  1.8e-05  2.2e-02  1.2e-01  2.6e-01  2.1e-03  2.7e-01
  93  T 0   1.596e+08  -1e-06  0.97  7.3e-02  1.9e-05  1.6e-02  6.8e-02  2.7e-01  2.2e-03  2.7e-01
  94  T 0   1.596e+08   2e-07  0.98  8.7e-02  2.1e-05  7.3e-02  4.7e-01  2.8e-01  2.1e-03  2.8e-01
  95  F 0   1.596e+08   2e-07  0.98  6.1e-02  2.1e-05  0.0e+00  0.0e+00  2.7e-01  2.4e-03  2.7e-01
  95  F 1   1.596e+08   2e-07  0.98  4.3e-02  2.1e-05  0.0e+00  0.0e+00  2.7e-01  2.1e-03  2.8e-01
  95  T 2   1.596e+08  -5e-06  0.98  5.1e-02  4.6e-05  4.3e-02  5.4e-01  2.7e-01  2.1e-03  2.7e-01
  96  F 0   1.596e+08  -5e-06  0.98  3.6e-02  4.6e-05  0.0e+00  0.0e+00  2.8e-01  2.2e-03  2.8e-01
  96  T 1   1.596e+08   2e-05  0.97  4.3e-02  4.2e-05  3.6e-02  4.0e-01  2.7e-01  1.5e-03  2.7e-01
  97  T 0   1.596e+08  -2e-05  0.97  5.2e-02  4.7e-05  4.3e-02  2.9e-01  2.6e-01  1.8e-03  2.6e-01
  98  T 0   1.595e+08  -6e-07  0.97  6.2e-02  2.0e-05  3.0e-02  1.6e-01  2.8e-01  2.1e-03  2.9e-01
  99  T 0   1.595e+08  -4e-07  0.97  7.5e-02  2.0e-05  1.5e-02  6.1e-02  2.6e-01  2.1e-03  2.7e-01
 100  T 0   1.595e+08  -9e-08  0.98  9.0e-02  1.9e-05  6.5e-02  2.4e-01  2.8e-01  2.2e-03  2.8e-01
 101  T 0   1.595e+08   4e-06  0.98  1.0e-01  6.6e-05  9.0e-02  9.4e-01  2.7e-01  2.2e-03  2.7e-01
 102  F 0   1.595e+08   4e-06  0.98  7.0e-02  6.6e-05  0.0e+00  0.0e+00  2.7e-01  2.1e-03  2.7e-01
 102  F 1   1.595e+08   4e-06  0.98  4.9e-02  6.6e-05  0.0e+00  0.0e+00  2.7e-01  1.8e-03  2.7e-01
 102  T 2   1.595e+08  -7e-08  0.97  5.9e-02  7.2e-05  4.9e-02  6.1e-01  2.7e-01  1.8e-03  2.7e-01
 103  T 0   1.595e+08   2e-06  0.97  7.1e-02  7.2e-05  5.9e-02  4.2e-01  2.6e-01  2.1e-03  2.7e-01
 104  T 0   1.594e+08   2e-06  0.97  8.5e-02  2.8e-05  3.8e-02  2.2e-01  2.7e-01  2.2e-03  2.7e-01
 105  T 0   1.594e+08  -5e-07  0.97  1.0e-01  1.8e-05  1.1e-02  5.4e-02  2.8e-01  2.1e-03  2.8e-01
 106  T 0   1.594e+08  -2e-07  0.97  1.0e-01  1.5e-05  6.9e-02  2.9e-01  2.7e-01  2.1e-03  2.7e-01
 107  F 0   1.594e+08  -2e-07  0.97  7.0e-02  1.5e-05  0.0e+00  0.0e+00  2.7e-01  2.2e-03  2.7e-01
 107  F 1   1.594e+08  -2e-07  0.97  4.9e-02  1.5e-05  0.0e+00  0.0e+00  2.7e-01  1.8e-03  2.7e-01
 107  F 2   1.594e+08  -2e-07  0.97  3.4e-02  1.5e-05  0.0e+00  0.0e+00  2.8e-01  1.8e-03  2.8e-01
 107  F 3   1.594e+08  -2e-07  0.97  2.4e-02  1.5e-05  0.0e+00  0.0e+00  2.7e-01  1.8e-03  2.7e-01
 107  T 4   1.594e+08  -2e-06  0.98  2.9e-02  3.8e-05  2.4e-02  3.0e-01  2.6e-01  1.8e-03  2.7e-01
 108  T 0   1.594e+08  -2e-06  0.97  3.5e-02  3.7e-05  2.9e-02  2.9e-01  2.6e-01  2.2e-03  2.7e-01
 109  T 0   1.593e+08  -2e-07  0.97  4.1e-02  2.8e-05  2.9e-02  2.0e-01  2.6e-01  2.2e-03  2.7e-01
 110  T 0   1.593e+08  -5e-07  0.97  5.0e-02  1.4e-05  1.7e-02  8.8e-02  2.7e-01  2.1e-03  2.7e-01
 111  T 0   1.593e+08  -1e-07  0.97  6.0e-02  1.5e-05  1.2e-02  5.1e-02  2.7e-01  2.2e-03  2.7e-01
 112  T 0   1.593e+08  -8e-08  0.98  7.2e-02  1.8e-05  6.0e-02  5.2e-01  2.7e-01  2.2e-03  2.7e-01
 113  F 0   1.593e+08  -8e-08  0.98  5.0e-02  1.8e-05  0.0e+00  0.0e+00  2.9e-01  2.4e-03  2.9e-01
 113  F 1   1.593e+08  -8e-08  0.98  3.5e-02  1.8e-05  0.0e+00  0.0e+00  2.8e-01  2.1e-03  2.8e-01
 113  T 2   1.593e+08  -1e-05  0.97  4.2e-02  3.3e-05  3.5e-02  4.5e-01  2.7e-01  2.1e-03  2.8e-01
 114  T 0   1.593e+08  -3e-08  0.97  5.1e-02  3.0e-05  4.2e-02  3.7e-01  2.6e-01  2.5e-03  2.7e-01
 115  F 0   1.593e+08  -3e-08  0.97  3.5e-02  3.0e-05  0.0e+00  0.0e+00  2.6e-01  1.8e-03  2.7e-01
 115  F 1   1.593e+08  -3e-08  0.97  2.5e-02  3.0e-05  0.0e+00  0.0e+00  2.7e-01  1.8e-03  2.7e-01
 115  T 2   1.593e+08  -1e-05  0.97  3.0e-02  2.8e-05  2.5e-02  2.3e-01  2.7e-01  1.5e-03  2.8e-01
 116  T 0   1.593e+08   9e-07  0.97  3.6e-02  3.0e-05  3.0e-02  2.0e-01  2.7e-01  2.2e-03  2.7e-01
 117  T 0   1.592e+08   6e-07  0.97  4.3e-02  1.7e-05  2.1e-02  1.0e-01  2.6e-01  2.1e-03  2.7e-01
 118  T 0   1.592e+08  -1e-06  0.98  5.1e-02  1.8e-05  1.4e-02  5.2e-02  2.7e-01  2.2e-03  2.7e-01
 119  T 0   1.592e+08   4e-07  0.98  6.2e-02  1.9e-05  5.1e-02  3.5e-01  2.6e-01  2.1e-03  2.7e-01
 120  F 0   1.592e+08   4e-07  0.98  4.3e-02  1.9e-05  0.0e+00  0.0e+00  2.7e-01  2.7e-03  2.7e-01
 120  F 1   1.592e+08   4e-07  0.98  3.0e-02  1.9e-05  0.0e+00  0.0e+00  2.6e-01  2.4e-03  2.7e-01
 120  F 2   1.592e+08   4e-07  0.98  2.1e-02  1.9e-05  0.0e+00  0.0e+00  2.6e-01  2.4e-03  2.7e-01
 120  T 3   1.592e+08  -1e-05  0.98  2.5e-02  3.3e-05  2.1e-02  2.8e-01  2.7e-01  2.1e-03  2.7e-01
 121  T 0   1.592e+08   3e-06  0.97  3.0e-02  3.0e-05  2.5e-02  2.7e-01  2.7e-01  2.2e-03  2.8e-01
 122  T 0   1.592e+08   6e-07  0.97  3.7e-02  2.6e-05  2.5e-02  1.7e-01  2.6e-01  2.2e-03  2.7e-01
 123  T 0   1.592e+08  -3e-07  0.98  4.4e-02  1.7e-05  1.7e-02  8.7e-02  2.7e-01  2.1e-03  2.7e-01
 124  T 0   1.592e+08  -1e-06  0.98  5.3e-02  1.8e-05  1.5e-02  4.9e-02  2.6e-01  2.1e-03  2.7e-01
 125  T 0   1.591e+08   4e-07  0.98  6.3e-02  1.9e-05  5.3e-02  3.9e-01  2.7e-01  2.2e-03  2.7e-01
 126  F 0   1.591e+08   4e-07  0.98  4.4e-02  1.9e-05  0.0e+00  0.0e+00  2.6e-01  2.4e-03  2.6e-01
 126  F 1   1.591e+08   4e-07  0.98  3.1e-02  1.9e-05  0.0e+00  0.0e+00  2.6e-01  2.1e-03  2.6e-01
 126  F 2   1.591e+08   4e-07  0.98  2.2e-02  1.9e-05  0.0e+00  0.0e+00  2.6e-01  2.4e-03  2.7e-01
 126  T 3   1.591e+08  -5e-06  0.98  2.6e-02  3.6e-05  2.2e-02  2.7e-01  2.6e-01  2.4e-03  2.7e-01
 127  T 0   1.591e+08   3e-06  0.98  3.1e-02  3.3e-05  2.6e-02  2.7e-01  2.6e-01  2.2e-03  2.6e-01
 128  T 0   1.591e+08   6e-07  0.98  3.7e-02  2.7e-05  2.6e-02  1.7e-01  2.7e-01  2.2e-03  2.7e-01
 129  T 0   1.591e+08  -1e-06  0.98  4.5e-02  1.2e-05  1.5e-02  7.5e-02  2.6e-01  2.2e-03  2.6e-01
 130  T 0   1.591e+08  -5e-07  0.98  5.4e-02  1.3e-05  1.1e-02  4.7e-02  2.6e-01  2.2e-03  2.7e-01
 131  T 0   1.591e+08  -2e-06  0.98  6.5e-02  1.6e-05  5.4e-02  5.2e-01  2.6e-01  1.9e-03  2.6e-01
 132  F 0   1.591e+08  -2e-06  0.98  4.5e-02  1.6e-05  0.0e+00  0.0e+00  2.7e-01  2.5e-03  2.7e-01
 132  F 1   1.591e+08  -2e-06  0.98  3.2e-02  1.6e-05  0.0e+00  0.0e+00  2.6e-01  2.1e-03  2.7e-01
 132  T 2   1.591e+08  -1e-06  0.98  3.8e-02  2.5e-05  3.2e-02  4.0e-01  2.6e-01  1.8e-03  2.6e-01
 133  T 0   1.590e+08   2e-06  0.98  4.6e-02  1.7e-05  3.8e-02  3.7e-01  2.7e-01  2.5e-03  2.7e-01
 134  T 0   1.590e+08  -9e-08  0.98  5.5e-02  1.9e-05  4.6e-02  2.5e-01  3.0e-01  2.5e-03  3.0e-01
 135  F 0   1.590e+08  -9e-08  0.98  3.8e-02  1.9e-05  0.0e+00  0.0e+00  2.8e-01  2.5e-03  2.9e-01
 135  T 1   1.590e+08   6e-07  0.98  4.6e-02  2.7e-05  3.8e-02  2.5e-01  3.0e-01  2.1e-03  3.0e-01
 136  F 0   1.590e+08   6e-07  0.98  3.2e-02  2.7e-05  0.0e+00  0.0e+00  3.4e-01  2.1e-03  3.4e-01
 136  T 1   1.590e+08  -4e-05  0.98  3.9e-02  3.5e-05  3.2e-02  2.5e-01  3.1e-01  1.6e-03  3.1e-01
 137  T 0   1.590e+08  -4e-07  0.97  4.6e-02  1.8e-05  2.4e-02  1.5e-01  2.6e-01  2.2e-03  2.7e-01
 138  T 0   1.590e+08  -9e-08  0.98  5.6e-02  1.2e-05  1.1e-02  5.4e-02  2.6e-01  2.2e-03  2.7e-01
 139  T 0   1.590e+08  -3e-05  0.98  6.7e-02  1.2e-05  1.4e-02  6.4e-02  2.6e-01  1.8e-03  2.7e-01
 140  T 0   1.590e+08   4e-08  0.98  8.0e-02  1.8e-05  6.7e-02  5.9e-01  4.9e-01  2.2e-03  5.0e-01
 141  F 0   1.590e+08   4e-08  0.98  5.6e-02  1.8e-05  0.0e+00  0.0e+00  4.1e-01  2.0e-03  4.1e-01
 141  F 1   1.590e+08   4e-08  0.98  3.9e-02  1.8e-05  0.0e+00  0.0e+00  2.8e-01  1.8e-03  2.8e-01
 141  F 2   1.590e+08   4e-08  0.98  2.7e-02  1.8e-05  0.0e+00  0.0e+00  2.8e-01  2.1e-03  2.9e-01
 141  T 3   1.590e+08   4e-07  0.98  3.3e-02  4.0e-05  2.7e-02  3.3e-01  2.7e-01  1.8e-03  2.8e-01
 142  T 0   1.590e+08  -3e-07  0.98  4.0e-02  4.5e-05  3.3e-02  3.2e-01  3.2e-01  2.1e-03  3.2e-01
 143  T 0   1.589e+08  -1e-06  0.97  4.8e-02  3.1e-05  3.3e-02  2.1e-01  4.3e-01  2.1e-03  4.3e-01
 144  T 0   1.589e+08   2e-06  0.98  5.7e-02  1.5e-05  1.7e-02  7.9e-02  3.8e-01  2.3e-03  3.8e-01
 145  T 0   1.589e+08  -4e-05  0.98  6.8e-02  1.4e-05  1.1e-02  4.1e-02  4.6e-01  1.9e-03  4.7e-01
